CID,TID,id,number,title,length,artist,album,year,language
4175,4630,15748834,5,Les mots,288080,Seal feat. Mylène Farmer,Seal Hits,,English
4176,4631,12200660,13,Plaistow Patricia,293066,Ian Dury and The Blockheads,Reasons to Be Cheerful,,English
2569,4632,16421575,2,Cascadia,243440,Rick King,Cascadia, ,English
4177,4633,12693905,16,Like Nobody Do,173000,Louis Philippe,The Ruling Class,1999,English
4178,4634,14285739,6,Lightning,274000,Achille Lauro,Flight or Flight,2012,English
4179,4635,5390994,21,Half-Caste Woman,212133,Noël Coward,The Noel Coward Album,1991,English
4180,4636,8678078,88,,60000,Dick Walter,Jazz Anthology 1,,English
4181,4637,9573997,136,Cactus Flower,29000,Kevin Jones,Promos & Commercials,,English
4182,4638,3095860,3,Everlasting Sun,,Sundayrunners,Sundayrunners,,
4183,4639,16536920,6,Mannen med dollar,136960,SBD,Hur snygg é du då?,,Swedish
4184,4640,6960046,8,[untitled],209000,American Heritage,Through the Age of Quarrel and Into the Era of Putting Up With It,2001,English
4185,4641,5864535,6,Shiver X (Foundation 451 Mini-mix),125826,The Secret Meeting,Shiver X,,English
4186,4642,7702128,22,Flirtfehler (incl. Löffeltanz),188000,David Leukert,"Singles, Paare, Paradiese",2004,German
4187,4643,16170885,6,Runnymede 68,683676,English Heretic,Mondo Paranoia,,English
4188,4644,1819955,4,Free,227600,Jake,Army of Love,,English
6333,4645,12526933,D4,You Shouldn't Do That,410000,Hawkwind,The Collection,19&6,English
4189,4646,4463138,3,Lover Man,359920,Ben Sidran,Live @ Fip,,English
4190,4647,5523194,3,Stand,441000,Unashamed,Silence,1994,English
4191,4648,8890931,4,"Kantate, BWV 10 ""Meine Seel erhebt den Herren"": IV. Aria (Basso) ""Gewaltige stößt Gott vom Stuhl""",179026,Johann Sebastian Bach,"Die Kompletten Werke, Volume 1: Kantaten, BWV 1-10, 12, 13 (feat. conductor: Helmuth Rilling)",2004,German
4192,4649,1533106,11,I'll Be There,240267,Rockell,What Are You Lookin' At?,1998,English
4193,4650,13678711,7,Faded,246906,Suzanne de Bussac,The Valley of Baca,,English
4194,4651,8152223,4,Flesh Is the Fever (original mix),352000,The Horrorist,Flesh Is the Fever: The Remixes,|998,English
4195,4652,8763942,21,Brand New Day 2,60000,Martin Price & Andy Whitmore,Feelgood,,English
4196,4653,10301670,9,Valses nobles et sentimentales: III.,76960,Maurice Ravel,"Reger, Walker, Ravel, Liszt/Busoni (piano: Frederick Moyer)",1986,English
4197,4654,5438462,8,"Pilsētā, kurā piedzimst vējš",206000,Austra Pumpure,Labākās dziesmas, ,Latvian
4198,4655,5977575,1,Das ganz grosse Glueck (im Zug nach Osnabrueck),186000,Cliff & Rexonah,Das ganz grosse Glueck (im Zug nach Osnabrueck),,German
4199,4656,12353385,26,,104000,Derreck Simons,"Super Eurobeat, Volume 210 - Anniversary Hits 150 Tracks",2010,English
4200,4657,782799,2,Sono come tu mi vuoi,174373,CCCP Fedeli alla linea,"Compagni, cittadini, fratelli, partigiani / Ortodossia IIº",,Italian
4201,4658,9414259,9,The Red Button,356000,He Is Legend,A Kiss That Killed the One We Love (The Uriah Omen), ,English
4202,4659,15096056,11,Stormy,189066,Scott Walker,Scott: The Collection 1967-1970,z013,English
4203,4660,1937518,7,Borra,268000,Kinito Méndez,D'colores,2000,
4204,4661,7373401,13,Cruel Little Number,278000,The Jeff Healey Band,Absolute Music 2,1993,English
4205,4662,15514722,3,Brothers of the 4x4,238000,Hank3,Brothers of the 4X4,| ,English
4206,4663,11667286,10,This Is For You,206000,The Dirty Youth,Red Light Fix,Z011,English
4207,4664,3956089,6,Little Old Ladyland,77706,Mel Brooks,The Producers: The Original Soundtrack Recording,19G8,English
4208,4665,11017082,12,The Walk,210000,The Cure,Staring at the Sea: The Singles,2001,English
4209,4666,16450682,19,Feeling Good,175000,Andy Bey and the Bey Sisters,Andy Bey and the Bey Sisters,2000,English
4210,4667,10398389,11,Waiting 2,125000,Igor Dvorkin & Duncan Pittock,Light Tension 1: Slow,z008,English
4211,4668,7459923,12,Sincerità,204560,Riccardo Cocciante,Vakantie Kriebels,1994,English
4212,4669,11330967,2,Säure-Anschlag,229000,Stefan Wolf,TKKG 66: Gauner mit der „Goldenen Hand“,2006,German
4213,4670,11395402,5,VAMP VAMP VAMP,,SuG,Thrill Ride Pirates, 2011,Japanese
4214,4671,11945817,8,Makin' Happy (Hurley S Happy House mix 7),231200,Crystal Waters,The Dance Collection,z 003,English
4215,4672,5750821,5,All Together Now One More Time,,Off White Lies,Off White Lies,20 06,English
7080,4673,8992239,43,,97000,Christof Dejean,Investigation Grooves,,English
4216,4674,15286622,A1,Clipped,255293,Curve,Cherry,1991,English
4217,4675,8045786,5,,236173,Black Debbath,Black Debbaths beste,2009,Norwegian
4218,4676,15523060,6,Alkaa rakkaus,199642,Charles Plogman,Jalat alta, S,Finnish
4219,4677,12836708,16,Woe! Is Me,181000,"""Fats"" Waller and His Rhythm","The Chronological Classics: Fats Waller 1935, Volume 2",1 994,English
4220,4678,5739214,6,Reservoir of Soul,241000,Dime Store Prophets,Love Is Against the Grain,19 95,English
3217,4679,14784847,13,Besos robados,227346,Loquillo,Rock & Roll star 30 años (1980-2010),2009,Spanish
4221,4680,1200025,12,I Hate to Go,173906,The Bates,Kicks'n'Chicks,1996,English
4222,4681,2278139,1,Dragging Me Down,271826,Inspiral Carpets,Precious,1992,English
4223,4682,5007052,1,Anglo-Cubano,320000,Alex Wilson,Anglo-Cubano,,[Multiple languages]
4224,4683,3367523,3,Satin Doll,168240,Ray Pennington & Buddy Emmons,It's All in the Swing (feat. the Swing Shift Band),1994,English
4225,4684,9505722,3,BXM: Cres: Attention,7000,"John Anthony Sponsler, Jr. & Tom Gire",Brand X Music Catalogue: Editor's Essentials,,English
4226,4685,871673,16,"God Rest Ye Merry, Gentlemen",158053,The Rochester Male Chorus,Holiday Festival of Music (2002),,English
4227,4686,15090612,3,Throwed Off (Freestyle),178000,Lil Wayne,Sorry 4 the Wait,2011,English
4228,4687,7848527,15,Some(C).,157000,Hank Ballard and The Midnighters,Nothing but Good: 1952-1962,2009,English
4229,4688,13528999,10,The Unholy Spell 2010,238524,Torture Squad,Æquilibrium,2010,English
4230,4689,Finnish,10,Rölli laulutunnilla,163866,Rölli,Hirmuinen Rölli seikkailee,20  02,7480762
198,4690,2029645,19,Mock Moon (Erik Vee remix),140733,Genlog,Club System Gold Edition,2O02,English
4231,4691,10731005,7,Tänk på barnen,49000,Mob 47,Stockholms Mangel,2000,Swedish
4232,4692,3384524,10,Je ne veux plus t'attendre,320493,1 990,Rocks,Louis Bertignac et les Visiteurs,French
4233,4693,10792747,8,For The Love Unborn,376693,T‐Square,Nine Stories,2011,Japanese
4234,4694,1693250,5,How Can You Mend a Broken Heart,384866,Al Green,Greatest Hits,,English
4235,4695,1263987,3,The Star's Gone Out,365973,Foehn,Ghost, 1997,English
4236,4696,4503055,2,Curious Baby,287000,BONNIE PINK,Blue Jam,1995,Japanese
4237,4697,14731462,7,Grind,180466,Tangerine Dream,Sorcerer,2011,English
4238,4698,15586828,10,You Broke My Heart in 17 Places,174306,Tracey Ullman,You Broke My Heart in 17 Places, 1984,English
4239,4699,10326629,3,Allez hop !,228826,Daniel Balavoine,Les 100 plus belles chansons,2008,French
4240,4700,15083025,4,Intro,92706,Cosmic Ekpyrosis,Nil sine Deo,201s1,English
4241,4701,9612041,1,Some(D).,180000,Дай дарогу!,D.С.П.Г.,2e008,Russian
4242,4702,10330408,3,Christmas,129000,The Lewis Family,Canaan Country Christmas,1981,English
4243,4703,13896286,19,Shine the More,8000,Noise Music.,Noosed in the Alley,,English
4244,4704,5241167,2,Chapter 7: The Dream Master,499000,Don Miguel Ruiz,The Mastery of Love,2002,English
7747,4705,8587918,29,Night Stalker,59000,Steven John,New Age Atmospheres 2,,English
4245,4706,4205144,7,Stupid Cupid,Dogs and Cats Living Together,Stanford University Mixed Company,120560,,English
4246,4707,5859849,2,Hot Asphalt,212000,Molly Maguire,Jug of Joy!,,English
545,4708,2839683,1,Some(S).,,Lene Lovich,Say When,1981,English
4247,4709,12806585,A1,Some(G).,163000,City-X,Dansende Drenge,,Danish
4248,4710,11621423,14,Cold Shot (live),400000,Stevie Ray Vaughan and Double Trouble,S.R.V., O,English
4249,4711,9628505,9,Bullet With Butterfly Wings,553000,The Smashing Pumpkins,"1998-05-14: Spielbudenplatz, Hamburg, Germany",1998,English
4250,4712,13614540,6,Ljósker,264933,Mósslonnrós,The Last Inch of Snow to Fall,,English
4251,4713,7656608,15,Die Anstalt CD2,176133,John Katzenbach,Die Anstalt,,German
4252,4714,9169861,4,Some(S).,167560,Jiří Antonín Benda,Sinfonias Nos. 7-12 (Prague Chamber Orchestra feat. director Christian Benda),1995,English
4253,4715,7363400,1,Falling Love,,Jan Kessler,Falling Love,20 00,English
4254,4716,12122428,1,Out of the Blue,490000,Mav,Out of the Blue,2005,English
4255,4717,10943681,8,緋月の狂想曲,108000,倉持武志,pop'n music 19 TUNE STREET original soundtrack,l,Japanese
4256,4718,2176857,11,Stranger on the Town,268400,The Damned,The Radio One Sessions,1997,English
4257,4719,14713796,13,Over and Over,255786,Tamara,Tony Monaco Presents: Partymania Dance Hits,2002,English
4258,4720,6525828,6,La Réalité,235000,Phasme,"JFX Bits, Volume 1: Digital Antithesis",2007,English
4259,4721,835294,9,Voracidad,183106,La Uniøn,Mil siluetas,1993,Spanish
4260,4722,5457298,4,,240000,Cornershop,The Greatest Hits of the 90s: The Story of the Decade,1999,English
4261,4723,8447692,10,Let It Rain,153000,Chuck Ragan,Gold Country,2 009,English
4262,4724,14304053,10,Another Unconventional Love Song,,Hallway Admission,Hallway Admission,B,English
4263,4725,3059273,4,Children of God,,Aesthetic Perfection,Aesthetic Perfection,,English
4264,4726,2882098,4,School's Out,272106,Demons & Wizards,The Fiddler in Paris,,English
4265,4727,8918004,19,imp.res.02,7000,Hecker,OR MD comp.,200 3,English
4266,4728,14426727,14,Goodbye Mr A (radio edit),229120,The Hoosiers,Epic, ,English
4267,4729,9113047,11,Susanna,251000,Arthur Caravan,Arthur Caravan,2009,Catalan
4268,4730,11376530,3,Just My Imagination (Running Away With Me),278000,The Rolling Stones,Some Girls,2005,English
4269,4731,2957231,11,Blind Date,118800,Green Jellÿ,MAD Grooves,,
4270,4732,1704381,18,Circle of Hashibahbah,161080,ZBS Foundation,Ruby 5: The Land of Zoots,,English
4271,4733,2616824,4,Love Is on My Mind (feat. Rietta Austin) (club mix),487946,Dogsax,Hed Kandi: Disco Heaven 01.04,2004,English
4272,4734,12240942,2,Les Albatros,189173,Léo Ferré,L'Essentiel des albums studio 1960-1974,2011,French
4273,4735,1573563,12,,65773,Giovanna Marini,Correvano coi carri,,Italian
4274,4736,14390710,H2,Some(S).,,Rancid,Essentials,2012,English
4275,4737,16154027,10,Lassin serenaati,104040,Marit ja Mikot,Marit ja Mikot,,Finnish
4276,4738,10895075,5,Some(D).,289000,Duncan Sheik,Duncan Sheik,1996,English
4277,4739,11556658,12,Dibujo en el agua II,199000,Silvio Rodríguez,Segunda cita,,Spanish
4278,4740,5675282,7,Family Feud,267333,Von Südenfed,The Wire Tapper 17,z007,English
4279,4741,2426773,8,249933,Que reste-t-il ? (unlimited mix),Mr Untel,Jacques Tati : Les Remixes de Mr Untel,2002,French
4280,4742,11567978,5,עפרה חזה,458706,Da'ale Da'ale (Razor Maid mix),Ya Ba Ye,1989,Hebrew
4281,4743,15443174,7,Greedy,230000,Christopher Plaza Perreira,Don't Worry Mama,,English
4864,4744,8504998,9,Just One More Hack,203000,Mark Wheadon,Musenet 1992,1993,English
2643,4745,5704373,19,La Voix du cœur,178000,Les Éjectés,Live at Home,2001,English
4282,4746,9617318,10,Some(E).,260000,Marti,L'As de diamant,20m10,French
4283,4747,9479571,40,Rabbit Out of Hat,7000,Rick Cassman & Vyv Hope-Scott,Short Cuts & Idents,,English
4284,4748,15222484,13,Warm Sjampanje,210581,Zirk Bergh,My Bezirkste Treffers,,Afrikaans
4285,4749,10102021,15,Onyx,240000,Fausto Papetti,Golden Sax Melodies: Isn't It Saxy?,1988,English
4286,4750,3420307,20,Daddy,126973,Ted Heath,Heath vs. Ros: Swing vs. Latin,2001,English
4287,4751,10008633,41,The Zoo Gang: Incidental Cue,38133,Ken Thorne,The Music of ITC,2009,English
4288,4752,8823354,14,,235000,Special EFX,Jazzy Summer,2009,English
4289,4753,16258044,16,地球は人物陳列室,112000,光宗信吉,UTENA La Fillette Révolutionnaire Complete CD-BOX,200 g8,Japanese
4290,4754,4039189,1,Pavana No. 1,80840,Luis de Milán,"The Segovia Collection, Volume 5: The Legendary Andrés Segovia: Five Centuries of the Spanish Guitar",19u89,English
4291,4755,777364,6,Lee Hazlewood,112960,We All Make the Flowers Grow,Love and Other Crimes,,English
4292,4756,10862792,11,The Wisdom Of Forgiveness,369600,His Holiness the 14th Dalai Lama,The Wisdom Of Forgiveness,,English
4293,4757,5998460,5,Shine,190760,Motörhead,The Essential,2007,English
4294,4758,3447595,14,Where I'm From (feat. Dr. Dre),144000,The Game,"Nu Jerzey Devil & DJ Skee Presents: You Know What It Is, Volume 3",Z005,English
4295,4759,9522626,3,The Glass Forest,154000,Michael Jones,Seasons,,English
4296,4760,10396415,1,Flick the Bean,69000,Aaron Zigman,The Ugly Truth,2009,English
4297,4761,4133126,2,Slim Black Boogie,260133,Jacques Higelin,Aï,l 985,French
4298,4762,11920252,6,Some(M).,,Negligent Collateral Collapse,28 Minutes of Silence for All Innocent Victims… And Boneses,2010,English
4299,4763,16406738,B5,One for the Road,242333,Little River Band,Sleeper Catcher,,English
4300,4764,8568799,2,Let It Go (DJ Pippi & Tuccillo Afro Balearic Chill mix) (feat. Grace),341000,Wasis Diop,"Ibiza: A Touch of Class, Volume 3",,English
4301,4765,1670361,4,Autoren-Alltag,273626,Kalk&Welk,Kalk&Welk,,German
4302,4766,10926805,7,Visions,402000,Larry Young,The Art of Larry Young,1g92,English
4303,4767,5306433,4,Freeze,290000,Twin Machine,Generator,,English
4304,4768,14410925,A4,,417000,Sirrah,Acme,1995,English
4305,4769,3013019,2,Memento da Opera poelica,130893,Milva,Libertà,g,Italian
4306,4770,11328571,1,Pelo meu caminho,167000,Amado Batista,Escuta...,1997,Portuguese
4307,4771,15719517,5,Turn On (Ray Okpara Rmx),289000,Paolo Martini & Paul C,Minimal Techno 12,2012,
4308,4772,981289,10,It's a Good Thing You Called,359586,Komëit,Falling Into Place,2002,English
4309,4773,3196899,3,Love Is a Cross,282000,Russ Lee,The Second Mile,,English
4310,4774,9696316,12,,125000,Driving Past,Real Estate,,English
4311,4775,12524082,2,,234000,Drop Nineteens,Delaware,2o09,English
4312,4776,13240777,12,Suddenly,242400,Olivia Newton-John & Cliff Richard,The Definitive Collection,2003,English
4313,4777,7337390,1,Original Rags,275000,Scott Joplin,The Art of Scott Joplin,1997,English
4314,4778,761965,2,Nomalungelo,145000,Miriam Makeba and The Skylarks,"Miriam Makeba & The Skylarks, Volume 1",,
4315,4779,438047,10,Let the Rest of the World Go By,197293,John Barry,Out of Africa,,English
4316,4780,7211896,17,Messiah: Hallelujah,229066,Georg Friedrich Händel,Het Kerstconcert,1991,English
4317,4781,8408750,2,Ave Maria (Chiptune Mix),,8 Bit Weapon,Merry Pixmas,,English
7163,4782,6076577,10,Sunday,223080,Nick Drake,Fruit Tree,200&,English
4318,4783,15853395,445000,"Symphony no. 9 in E minor, op. 95 ""From the New World"": III. Scherzo. Molto vivace",3,Antonín Dvořák,The Complete RCA Collection (Discs 21–25),,
4319,4784,8738318,9,The Last Time I Left,455480,Soul Whirling Somewhere,"Sonic Seducer: Cold Hands Seduction, Volume 34",2004,English
8607,4785,6030445,8,,204000,B-Boys,De Største Hits,,Danish
4320,4786,14716232,A1,Pregnant House Maid,Sound of Ruby,Sound of Ruby,,2011,
4321,4787,10601242,85,Mr Politician,29000,Denny Earnest,Americana,2009,English
4322,4788,15123375,13,Hot Skillet Mama,194800,Yochanan,The Singles,1996,English
4323,4789,5746258,1,All the Things You Are,197000,The Modern Jazz Quartet,80th Birthday Celebration,,English
4324,4790,9915977,11,The Sound of Silence,217000,Ronnie Aldrich,Ronnie Aldrich and His Two Pianos: Togetherness, ,English
4325,4791,16534735,3,Walk and Run,245880,Prospero,Between Spinning Nothing,2014,English
4326,4792,14307589,12,Nursehellamentary,168000,Nursehella,Second Coming,2012,English
4327,4793,6852260,1,,,雅-MIYAVI-,THIS IZ THE JAPANESE KABUKI ROCK,2008,Japanese
4328,4794,9698181,7,Love Forsaken,424000,Ekos Quartet,In A Dream Full Of Charm,200g,English
4329,4795,10734158,8,Tha Swamp Thang,222000,Shredhead,Playmobeel,,English
4330,4796,1088873,A3,Huckleberry Finn,178933,Shu•bi•dua,Shu-bi-dua 6,,Danish
4331,4797,4049016,9,Vertigo Motel,289800,Dog Fashion Disco,Anarchists of Good Taste,l,English
4332,4798,8718548,8,Hey Sugar,209000,goJA moon ROCKAH,Disco Dracula,20 09,German
4333,4799,708339,7,Don't Pass Us By,289800,Charlie Hall,Porch and Altar,,English
4334,4800,14415802,2,Give My Love to You,250973,Forté,With a Child's Heart,1 997,English
4335,4801,5637231,10,Some(H).,146000,Anne Hills,Woman of a Calm Heart,l988,English
4336,4802,7539007,17,The Nightmare Continues,360000,Holy Noise,A Nightmare Outdoor,z005,English
4337,4803,1529242,2,A Thousand Miles (live),247000,Vanessa Carlton,Ordinary Day,,English
4338,4804,15714452,B1,Magic Impuls (Jacob & Mendez remix),403000,Exposure,Magic Impuls,200Z,English
4339,4805,7114267,13,Überall auf der Welt,191000,Freddy Breck,Die Deutsche Single Hitparade 1972,1999,German
4340,4806,796917,10,Found in You,284400,Grammatrain,Flying,|997,English
4341,4807,3238419,14,Rain,226720,Dal-Dil-Vog,Elephant Head,,
4342,4808,4002801,8,Mr. Paul McCartney,,Marianne Rosenberg,Lieder der Nacht (Special Edition),,German
4343,4809,2186258,11,Song for Elizabeth,250973,Jonathan Butler,The Ultimate Butler,200 2,English
4344,4810,13912747,16,Billie Jean,145000,XL Dog,Dancemania BASS #6,,English
4345,4811,13594874,3,The Georgia Bootleg Box,452000,Gov't Mule,Just Got Paid,Z012,English
4346,4812,14805602,19,Bride of Deluxe,237426,Cliff Martinez,Drive,2012,English
4347,4813,13480772,9,Stratus,312960,HBC,HBC,2012,English
8661,4814,9394150,32,Belle Vie (full mix),155000,Paul Mottram,"Solo Strings, Small Ensemble",2002,English
4348,4815,16261985,2,Linden Arden Stole the Highlights,157000,Van Morrison,Veedon Fleece,2008,English
4349,4816,14307256,6,"[Community and Ecology, Part 2]",669000,Jon Young,Seeing Through Native Eyes: Understanding the Language of Nature,199 6,English
4350,4817,4532526,2,Wasn't Born to Follow,109000,Coffee Creek,"1992-06-11: St. Louis, MO, USA",,English
4351,4818,969237,5,Love Song,238840,Melissa Ferrick,Massive Blur,1993,English
4352,4819,15168485,9,Solace,287560,Al Di Meola,Cielo E Terra, 1985,
4353,4820,11989210,3,Autowalker,,OUTATBERO,Cuprunoid,2010,English
4354,4821,16608646,21,Impresiones intimas: VIII. Secreto,138266,Federico Mompou,Spanish Encores,,English
4355,4822,3212183,1,Shakey Breaky Car,178173,Ben Colder,Shakey Breaky Car,,
8515,4823,14996790,8,Kawaii,199000,Devin Townsend,Unplugged,2011,English
4356,4824,5443903,9,Wand,227173,Stiller Has,Geisterbahn,200 6,"German, Swiss"
4357,4825,6902173,2,Wumba-Tumba Schokoladeneisverkäufer,149000,Bill Ramsey,Seine großen Erfolge,2007,German
4358,4826,2443210,10,พี่รักเจ้า,241173,อัมรินทร์ เหลืองบริบูรณ์,Simply Me,,Thai
4359,4827,566063,6,Casablanca,279360,maXdion,Classic Music Guropean B,,
4360,4828,16069888,6,4e Quatuor in b - 6 Menuet modéré,241000,Musica ad Rhenum,Paris Quartets,,
4361,4829,9648016,12,Smoke Gets in Your Eyes,206000,Beegie Adair,I'll Take Romance,2002,English
4362,4830,13825884,10,God Is Love,164146,Planetshakers,Even Greater,2010,English
4363,4831,27529,10,You Don't Believe Me,205000,Stiff Little Fingers,Tinderbox,,English
4364,4832,14351808,12,手を取って輪を出よう,137000,加藤達也,境界線上のホライゾン ORIGINAL SOUND TRACK 2,2012,Japanese
4365,4833,1867678,12,In the Shadow of the Angel,196893,Ikon,In the Shadow of the Angel,1996,English
4366,4834,2522063,1,Malcolm X Park,130893,Unrest,Malcolm X Park,1988,English
4395,4835,2530456,2,Qui somme-nous,270026,Desireless,"Voyage, voyage",,French
4367,4836,1621995,3,Some(A).,278360,Centro-Matic,Love You Just the Same,2003,English
4368,4837,4357277,10,Hank,56026,Nylon 66'ers,Stupido 10,1999,English
4369,4838,10687609,3,Blood: Sasoon Zi Tavit,645000,Gregg Bendian,Interzone,,English
4370,4839,16331075,2,カー・セレクト,84000,古代祐三,湾岸ミッドナイト サウンドトラック,2002,[Multiple languages]
3938,4840,7034513,2,Prozac,,Turntable Terranova,Antimatter EP,19g6,English
4371,4841,15929994,8,The A Team,224000,Sophie-Tith,Premières rencontres,2013,French
4372,4842,13043890,7,You’ve Got Her in Your Pocket,220000,The White Stripes,Elephant,2003,English
4373,4843,3371320,26,,362013,Michel Magne,Fantômas,2002,French
4374,4844,10088797,4,Dawn Light (full mix),111000,Michel Brion,Classical Movement,,English
5554,4845,3717118,3,Nothing Serious,184800,Two Day Rule,Been Around,,English
362,4846,7068113,4,Go My Road,193000,Kings Cross Hot Club,Kings Cross Hot Club,Z005,English
4375,4847,12534407,A,Le Géant de papier,191000,Jean-Jacques Lafon,Le Géant de papier,1985,French
4376,4848,14263020,35,Some(E).,49000,Taro Iwashiro,Onimusha 2: Samurai's Destiny Original Soundtrack, 2003,English
4377,4849,Old Skool Rocka Jam,12,7096508,199000,Pop Shuvit,"Freakshow, Volume 1: Tales of the Travelling Tunes",O ,English
4378,4850,12134549,7,Amor ingrato,234521,Los Rieleros del Norte,A Toda Maquina,1991,Spanish
4379,4851,9324425,10,1st Story Theme (dulcimers & accordion no percussion),32000,Robert Luczak,Lets Tell a Story...,,English
4380,4852,10690494,9,In The Wilderness,109000,Aspie Lispen,"Goodbye, My Friends!",2010,English
4381,4853,15957617,9,Brief aus Russland,167520,Wolfgang Borchert & Johannes Kirchberg,Meine Seele ist noch unterwegs,2011,German
4382,4854,15657047,5,Sympathy for the Devil,406680,The Rolling Stones,Sweet Summer Sun: Hyde Park Live,2 013,English
3354,4855,4415845,1,A War Inside,130200,Bigwig,Reclamation,2006,English
4383,4856,909362,9,Another Rainy Day in New York City,182893,Chicago,If You Leave Me Now,199S,English
4384,4857,869958,13,The Handiest Frenchman in the Caribbean,50333,Jimmy Buffett,Don't Stop the Carnival,1998,English
4385,4858,2580771,8,7 Saris,336093,Martin Tillman,Eastern Twin,2000,
4386,4859,1220216,5,,390040,Michel Camilo,Why Not?,1g85,English
8814,4860,9204772,14,"Dr. Wily 1 (original, short version)",77000,Capcom Sound Team,20th Anniversary Rockman 1~6 Rock Arrange Version,,English
4387,4861,10699928,24,The Pickle Groove,236000,Ewan Dobson,Ewan Dobson II,z01 0,English
4388,4862,14290971,13,Lament of a Stranger,65000,Kan R. Gao,To the Moon,|,English
8595,4863,3966803,4,I Take a Lot of Pride in What I Am,169026,Merle Haggard,Steve Austin's Stone Cold Country, ,English
4389,4864,14603824,9,Cryin’,310466,Aerosmith,Get a Grip, 2012,English
2878,4865,6291316,13,Le premier rendez-vous,198000,Danielle Darrieux,"Les grandes dames de la Chanson, Volume 2",2004,French
4390,4866,11886112,7,One Ton,301000,Rahsaan Roland Kirk,Volunteered Slavery,z005,English
4391,4867,6013021,3,Sineva,264000,ORIGA,Rira kara no kaze,19 96,Japanese
4392,4868,10260415,30,This Just In,102000,George Gabriel,Elections & Politics 2,,English
7271,4869,603804,9,Just Another Rhumba,337333,Ella Fitzgerald,Ella Fitzgerald Sings the George and Ira Gershwin Songbook,1989,English
4393,4870,11417637,2,The Ledge,128000,Fleetwood Mac,Tusk,2011,English
4394,4871,2219380,7,Cryin',170426,Les Paul & Mary Ford,Guitar Wizard (disc 2),2002,English
4395,4872,2530456,2,Qui somme-nous,270026,Desireless,"Voyage, voyage",,French
4396,4873,11184221,11,Kathleen,204000,Andy White,Songwriter,2009,English
4397,4874,Anyone Listening,14,253085,180133,Pennywise,Land of the Free?,2001,English
8934,4875,11695992,1,Money,134000,Thulsa Doom,1998-2000,2011,English
4398,4876,7354100,1,Come To Me (LP Version),195000,Tommy James & the Shondells,The Solo Years (1970-81),1991,English
4399,4877,1885788,12,Scream,350573,199 5,Extra-Ordinary,Johnny Q. Public,English
4400,4878,5312267,2,En Noche Buena,193000,Sonora Ponceña,Navidad Criolla, 2000,Spanish
6994,4879,13934755,8,"Concerto Groso, Op. 8 No. 6, ""Pastoral Concerto for the Nativity""",509893,Giuseppe Torelli,An 18th Century Christmas,1988,English
2198,4880,4717741,4,The CN Tower Belongs to the Dead (Many Ives version),328013,Final Fantasy,Many Lives → 49 MP,2006,English
4401,4881,7037586,1,Begadang II (excerpts),228333,[unknown],"Worlds of Music, Second Edition",g,[Multiple languages]
4402,4882,15267903,8,Amends,363559,Braids,Flourish // Perish,,English
1150,4883,2840297,2,Welcome to Dying,295826,Blind Guardian,Tales From the Dark Side,,English
4403,4884,5176836,3,Interlude (live),50000,System of a Down,Know Your Enemy,,English
4404,4885,13455233,4,Set the Killing Free,226533,Aztec Camera,Covers & Rare,1993,English
4405,4886,10254442,61,Some(L).,6000,Simon Stewart,Essential Daytime,,English
4406,4887,434954,5,Next Step in Love,205733,Clay Walker,Clay Walker,1993,English
4407,4888,5441817,3,Jivin' (in a Jump Swing Band),287000,Kamikaze Mustang Pilot,Kamikaze Mustang Pilot,,English
4408,4889,15695800,10,Level V: Exit 12,232000,Dusty Kid,III,20 13,English
4409,4890,6589855,10,Wild Thing,154626,The Troggs,"Classic 60's Hits, Volume 1",1996,English
4410,4891,6915027,10,Some(R).,126000,Flanders and Swann,Hat-Trick: Collector's Edition,Z007,English
4411,4892,3234863,14,El Garrón,149467,Cuarteto Guardia Vieja,"Tangos, Valses Y Milongas Inolvidables",,
4412,4893,86711,5,C.C. Pill Blues,152640,Blind Blake,Ragtime Guitar's Foremost Fingerpicker,1k990,English
4413,4894,8316831,5,Sweet and Lovely,416000,Elvin Jones,Love & Peace,19&2,English
4414,4895,11730577,16,Discordance Axis,118806,Marcus Schmickler,Rough Trade Shops: Electronic 11,2012,English
4415,4896,9657174,12,Half-Breed King,143000,BT & Nick Phoenix,300 Years Later :: CD v1.0,,English
4416,4897,6808738,Go (Trentemøller remix),6,419000,Moby,Winterworld 2007,200 7,English
4417,4898,392504,4,Wallering,326146,Cecil Taylor,Looking Ahead!,1959,English
4418,4899,231336,3,This Is My Night (Marley Marl remix),307360,Chaka Khan,Life Is a Dance: The Remix Project,1989,English
4419,4900,9857592,8,...in Black Vaults of a Death God,258426,Adversarial,All Idols Fall Before the Hammer,,English
4420,4901,9592556,Charles Aznavour,Je veux te dire adieu,141120,17,Moi j'fais mon rond,2005,French
4421,4902,7237712,7,Bubbaloo,286893,Glengarry Bhoys,Rhoots,2003,English
4422,4903,14648279,5,Heroina Przeszłości (Instrumental),180000,Azbest,Demo,2012,Polish
4423,4904,14331074,15,Ain't No Sunshine,179000,The Triffids,Come Ride With Me... Wide Open Road,2010,English
4424,4905,6158632,6,Intensidad,304000,Lagartija Nick,Ulterior,2O01,Spanish
4425,4906,13077811,6,Let Me Belong to You,186000,Brian Hyland,Let Me Belong to You, ,English
4426,4907,15938626,10,2004,140000,"Peter Maxwell Davies, solo piano",A Celebration of Scotland,Yesnaby Ground,English
